city,state_id,state_name,latitude,longitude,population,population_proper,density
Prairie Ridge,WA,Washington,47.1443,-122.1408,,,1349.8
Edison,WA,Washington,48.5602,-122.4311,,,127.4
Packwood,WA,Washington,46.6085,-121.6702,,,213.9
Wautauga Beach,WA,Washington,47.5862,-122.5482,,,261.7
Harper,WA,Washington,47.5207,-122.5196,,,342.1
Telma,WA,Washington,47.8432,-120.8157,,,1.4
Kahlotus,WA,Washington,46.6436,-118.5566,189,189,156
Mondovi,WA,Washington,47.6813,-118.0164,,,9.4
Washtucna,WA,Washington,46.7539,-118.3104,195,195,108
Pleasant Hill,WA,Washington,47.6154,-121.9096,,,25.8
Toledo,WA,Washington,46.4412,-122.8494,738,738,708
Wabash,WA,Washington,47.2429,-122.0576,,,56.2
Renton,WA,Washington,47.4757,-122.1904,100953,100953,1663
Chehalis,WA,Washington,46.6649,-122.966,7498,7498,523
Central Valley,WA,Washington,47.6632,-122.6499,,,157.5
Lake City,WA,Washington,47.1487,-122.5512,,,1944.4
Megler,WA,Washington,46.2509,-123.8576,,,9.9
Alder,WA,Washington,46.7872,-122.2666,,,14.4
Ronald,WA,Washington,47.2338,-121.0335,,,187.8
Belvedere,WA,Washington,48.0499,-118.985,,,4.6
Waverly,WA,Washington,47.338,-117.2313,110,110,102
Turner Corner,WA,Washington,47.8045,-122.1435,,,161
Lofall,WA,Washington,47.8113,-122.6564,,,260.6
Kennydale,WA,Washington,47.5207,-122.2068,,,2263.7
Easton,WA,Washington,47.2405,-121.1733,,,122.5
Navy Yard City,WA,Washington,47.5508,-122.6654,,,1659.8
Mercer Island,WA,Washington,47.5624,-122.2265,25134,25134,1535
Lynnwood,WA,Washington,47.8285,-122.3034,38092,38092,1873
Coulee City,WA,Washington,47.6123,-119.289,569,569,243
Douglas,WA,Washington,47.6212,-120.0048,,,16.4
Centralia,WA,Washington,46.7226,-122.9695,41077,16982,875
Colbert,WA,Washington,47.8266,-117.3419,,,115.6
Bryn Mawr,WA,Washington,47.5034,-122.2329,,,2502.5
Silverdale,WA,Washington,47.6663,-122.6828,,,595.7
Lyle,WA,Washington,45.6956,-121.2805,,,579.9
Malott,WA,Washington,48.2919,-119.6954,,,155.5
Mountlake Terrace,WA,Washington,47.7921,-122.3077,21182,21182,2015
Ilwaco,WA,Washington,46.3099,-124.0417,929,929,170
Fairwood,WA,Washington,47.4467,-122.143,,,1858.6
Warm Beach,WA,Washington,48.1649,-122.3442,,,693
Thomas,WA,Washington,47.3537,-122.229,,,158.9
Parker,WA,Washington,46.5022,-120.4668,,,14.8
Steptoe,WA,Washington,47.0075,-117.3502,,,90.9
Vail,WA,Washington,46.8451,-122.6562,,,106.3
Magnolia Beach,WA,Washington,47.382,-122.4832,,,182.7
Lakeview,WA,Washington,47.1593,-122.4982,,,2782.1
Shaw Island,WA,Washington,48.5843,-122.9291,,,17
Oakesdale,WA,Washington,47.1304,-117.2465,435,435,161
Rosburg,WA,Washington,46.3076,-123.6344,,,11.1
